,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,genre
10648,0.609,0.444,7,-9.129,1,0.106,0.603,6.86e-06,0.104,0.166,118.402,audio_features,3XVBdLihbNbxUwZosxcGuJ,spotify:track:3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ,https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ,228707,3,If I Ain't Got You,Alicia Keys,dreampop
10649,0.54,0.524,4,-7.651,1,0.0504,0.117,0.000763,0.0689,0.446,129.872,audio_features,40UjDmQuYPOpa0zki1udgC,spotify:track:40UjDmQuYPOpa0zki1udgC,https://api.spotify.com/v1/tracks/40UjDmQuYPOpa0zki1udgC,https://api.spotify.com/v1/audio-analysis/40UjDmQuYPOpa0zki1udgC,228400,3,Lovin U,Alicia Keys,dreampop
10650,0.731,0.949,9,-6.249,1,0.0291,0.0134,0.687,0.321,0.964,125.019,audio_features,5sqvkaJmgYFW1Gj9G9mXBr,spotify:track:5sqvkaJmgYFW1Gj9G9mXBr,https://api.spotify.com/v1/tracks/5sqvkaJmgYFW1Gj9G9mXBr,https://api.spotify.com/v1/audio-analysis/5sqvkaJmgYFW1Gj9G9mXBr,237227,4,El Muchacho De Los Ojos Tristes,Niza,dreampop
10651,0.795,0.715,5,-8.912,1,0.0307,0.0305,0.911,0.0959,0.836,130.017,audio_features,5Iixe94O346rXb7kvKnJeN,spotify:track:5Iixe94O346rXb7kvKnJeN,https://api.spotify.com/v1/tracks/5Iixe94O346rXb7kvKnJeN,https://api.spotify.com/v1/audio-analysis/5Iixe94O346rXb7kvKnJeN,209763,4,Coasting,Darren Korb,dreampop
10652,0.807,0.665,2,-5.384,1,0.115,0.138,0.0,0.565,0.616,99.005,audio_features,0xrr78BL2JIDhoHPQetTbt,spotify:track:0xrr78BL2JIDhoHPQetTbt,https://api.spotify.com/v1/tracks/0xrr78BL2JIDhoHPQetTbt,https://api.spotify.com/v1/audio-analysis/0xrr78BL2JIDhoHPQetTbt,197562,4,2NIGHT,Eddy Kim,dreampop
10653,0.6,0.611,5,-8.784,0,0.0328,0.22,0.00385,0.25,0.416,93.009,audio_features,6ZZ1TUyOtjK2zJjNrVDDMU,spotify:track:6ZZ1TUyOtjK2zJjNrVDDMU,https://api.spotify.com/v1/tracks/6ZZ1TUyOtjK2zJjNrVDDMU,https://api.spotify.com/v1/audio-analysis/6ZZ1TUyOtjK2zJjNrVDDMU,250951,4,After a long time 디깅클럽서울 Version,george,dreampop
10654,0.592,0.67,10,-5.223,1,0.0278,0.00137,0.214,0.127,0.386,135.062,audio_features,0UVzM2GkqTTf57G6Wj05UL,spotify:track:0UVzM2GkqTTf57G6Wj05UL,https://api.spotify.com/v1/tracks/0UVzM2GkqTTf57G6Wj05UL,https://api.spotify.com/v1/audio-analysis/0UVzM2GkqTTf57G6Wj05UL,303428,4,Under Wraps,Her's,dreampop
10655,0.608,0.447,4,-8.205,1,0.0285,0.0603,0.0,0.19,0.683,94.054,audio_features,3dcu0TMrxtPUMrCFxCNPbD,spotify:track:3dcu0TMrxtPUMrCFxCNPbD,https://api.spotify.com/v1/tracks/3dcu0TMrxtPUMrCFxCNPbD,https://api.spotify.com/v1/audio-analysis/3dcu0TMrxtPUMrCFxCNPbD,208280,4,Saw You in a Dream,The Japanese House,dreampop
10656,0.518,0.322,9,-10.412,1,0.0868,0.635,0.000943,0.0961,0.392,94.443,audio_features,0KS3iWaI0RJFgyyH2zQJGk,spotify:track:0KS3iWaI0RJFgyyH2zQJGk,https://api.spotify.com/v1/tracks/0KS3iWaI0RJFgyyH2zQJGk,https://api.spotify.com/v1/audio-analysis/0KS3iWaI0RJFgyyH2zQJGk,111253,4,Up and Away,Jakob,dreampop
10657,0.587,0.565,7,-9.249,1,0.0265,0.731,0.341,0.169,0.508,92.604,audio_features,2KvbRojbZGMsWr1Nuj5n2f,spotify:track:2KvbRojbZGMsWr1Nuj5n2f,https://api.spotify.com/v1/tracks/2KvbRojbZGMsWr1Nuj5n2f,https://api.spotify.com/v1/audio-analysis/2KvbRojbZGMsWr1Nuj5n2f,147093,4,You Might Be Sleeping,Jakob,dreampop
10658,0.709,0.491,10,-7.188,0,0.0459,0.187,0.0863,0.106,0.271,122.285,audio_features,5MQnppcOUZDiJ4ouVgl7Gy,spotify:track:5MQnppcOUZDiJ4ouVgl7Gy,https://api.spotify.com/v1/tracks/5MQnppcOUZDiJ4ouVgl7Gy,https://api.spotify.com/v1/audio-analysis/5MQnppcOUZDiJ4ouVgl7Gy,124440,4,Next to Me,Jakob,dreampop
10659,0.586,0.614,4,-7.275,1,0.0307,0.0803,1.94e-05,0.152,0.301,88.222,audio_features,2HLtRAcBAWd4y7TfVVoIpm,spotify:track:2HLtRAcBAWd4y7TfVVoIpm,https://api.spotify.com/v1/tracks/2HLtRAcBAWd4y7TfVVoIpm,https://api.spotify.com/v1/audio-analysis/2HLtRAcBAWd4y7TfVVoIpm,126698,4,Let It Pass,Jakob,dreampop
10660,0.528,0.671,2,-3.945,1,0.0355,0.0435,1.74e-05,0.125,0.581,112.934,audio_features,7t5MUcFIIayP1M6TNhtWE0,spotify:track:7t5MUcFIIayP1M6TNhtWE0,https://api.spotify.com/v1/tracks/7t5MUcFIIayP1M6TNhtWE0,https://api.spotify.com/v1/audio-analysis/7t5MUcFIIayP1M6TNhtWE0,208067,4,Summer Time High Time,Cuco,dreampop
10661,0.687,0.263,11,-8.72,1,0.0435,0.776,0.00013,0.102,0.21,120.1,audio_features,0tSXGhlgB73267m4AExpJL,spotify:track:0tSXGhlgB73267m4AExpJL,https://api.spotify.com/v1/tracks/0tSXGhlgB73267m4AExpJL,https://api.spotify.com/v1/audio-analysis/0tSXGhlgB73267m4AExpJL,184000,4,Don't Be Scared,sophie meiers,dreampop
10662,0.664,0.272,9,-13.35,1,0.0742,0.884,1.65e-05,0.692,0.259,119.921,audio_features,6DnAgwRvtp8t8nHrsh3T3m,spotify:track:6DnAgwRvtp8t8nHrsh3T3m,https://api.spotify.com/v1/tracks/6DnAgwRvtp8t8nHrsh3T3m,https://api.spotify.com/v1/audio-analysis/6DnAgwRvtp8t8nHrsh3T3m,229500,4,I Want to Write You Letters,sophie meiers,dreampop
10663,0.795,0.372,4,-18.544,1,0.04,0.4,0.0473,0.134,0.52,117.975,audio_features,27TwBntAb6UgUVJVyY0B2U,spotify:track:27TwBntAb6UgUVJVyY0B2U,https://api.spotify.com/v1/tracks/27TwBntAb6UgUVJVyY0B2U,https://api.spotify.com/v1/audio-analysis/27TwBntAb6UgUVJVyY0B2U,252203,4,Pretty Dark - Demo,Grimes,dreampop
10664,0.664,0.352,2,-9.426,1,0.0278,0.511,0.806,0.109,0.45,87.054,audio_features,6mnYXjuK0CDzqem4eR5JGU,spotify:track:6mnYXjuK0CDzqem4eR5JGU,https://api.spotify.com/v1/tracks/6mnYXjuK0CDzqem4eR5JGU,https://api.spotify.com/v1/audio-analysis/6mnYXjuK0CDzqem4eR5JGU,126120,4,Ghostride,Crumb,dreampop
10665,0.646,0.682,7,-5.847,1,0.0759,0.683,4.84e-06,0.107,0.421,131.895,audio_features,5JRMqkR82k2fdDEAim9SCN,spotify:track:5JRMqkR82k2fdDEAim9SCN,https://api.spotify.com/v1/tracks/5JRMqkR82k2fdDEAim9SCN,https://api.spotify.com/v1/audio-analysis/5JRMqkR82k2fdDEAim9SCN,176732,4,Peach,Kevin Abstract,dreampop
