,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist,genre
6689,0.639,0.467,2,-9.832,0,0.0347,0.000578,0.677,0.328,0.18,156.049,audio_features,4P6121AyLHyUzsdXwtY2wo,spotify:track:4P6121AyLHyUzsdXwtY2wo,https://api.spotify.com/v1/tracks/4P6121AyLHyUzsdXwtY2wo,https://api.spotify.com/v1/audio-analysis/4P6121AyLHyUzsdXwtY2wo,215521,4,The Senior (老將) (Inst.),BILL STAX,k-pop
6690,0.658,0.723,10,-6.012,0,0.0558,0.0125,0.0,0.144,0.646,95.005,audio_features,3aIigJIiEvJqiixDxSjG7S,spotify:track:3aIigJIiEvJqiixDxSjG7S,https://api.spotify.com/v1/tracks/3aIigJIiEvJqiixDxSjG7S,https://api.spotify.com/v1/audio-analysis/3aIigJIiEvJqiixDxSjG7S,195125,4,Miss Pretty,Basick & Kim Saehangil,k-pop
6691,0.445,0.793,7,-2.174,1,0.0358,0.668,0.0,0.251,0.47,159.83,audio_features,4pfAPw5yLpEmsP6nEXWQXf,spotify:track:4pfAPw5yLpEmsP6nEXWQXf,https://api.spotify.com/v1/tracks/4pfAPw5yLpEmsP6nEXWQXf,https://api.spotify.com/v1/audio-analysis/4pfAPw5yLpEmsP6nEXWQXf,228333,4,Sunflower,Girls' Generation,k-pop
6692,0.694,0.701,1,-5.617,0,0.0409,0.267,0.0,0.371,0.488,130.003,audio_features,0ZtXNKzuaZRGxpIjrlHrKz,spotify:track:0ZtXNKzuaZRGxpIjrlHrKz,https://api.spotify.com/v1/tracks/0ZtXNKzuaZRGxpIjrlHrKz,https://api.spotify.com/v1/audio-analysis/0ZtXNKzuaZRGxpIjrlHrKz,305853,4,언젠가 올 것 같았던 뜻밖의 순간,STi,k-pop
6693,0.473,0.879,9,-10.203,0,0.0305,0.0448,0.892,0.646,0.885,91.587,audio_features,7GHkdPjo1qVbF7NPc4DHG7,spotify:track:7GHkdPjo1qVbF7NPc4DHG7,https://api.spotify.com/v1/tracks/7GHkdPjo1qVbF7NPc4DHG7,https://api.spotify.com/v1/audio-analysis/7GHkdPjo1qVbF7NPc4DHG7,217227,4,Tenderizer,Molly Maguires,k-pop
6694,0.753,0.481,4,-6.507,0,0.0673,0.771,8.68e-06,0.231,0.764,126.013,audio_features,2ZjSmguUbTYYIArGyp8dH2,spotify:track:2ZjSmguUbTYYIArGyp8dH2,https://api.spotify.com/v1/tracks/2ZjSmguUbTYYIArGyp8dH2,https://api.spotify.com/v1/audio-analysis/2ZjSmguUbTYYIArGyp8dH2,138815,4,엄마,Hwaii,k-pop
6695,0.15,0.0926,5,-18.575,0,0.0403,0.983,0.926,0.0928,0.039,76.811,audio_features,5jFqsfzFps7fAjPJHPjPup,spotify:track:5jFqsfzFps7fAjPJHPjPup,https://api.spotify.com/v1/tracks/5jFqsfzFps7fAjPJHPjPup,https://api.spotify.com/v1/audio-analysis/5jFqsfzFps7fAjPJHPjPup,126922,4,송,김태성,k-pop
6696,0.766,0.8,9,-3.807,0,0.0358,0.0363,1.54e-05,0.103,0.838,124.991,audio_features,2wNp6CkjjbdUHBndh2a7fi,spotify:track:2wNp6CkjjbdUHBndh2a7fi,https://api.spotify.com/v1/tracks/2wNp6CkjjbdUHBndh2a7fi,https://api.spotify.com/v1/audio-analysis/2wNp6CkjjbdUHBndh2a7fi,177093,4,TOP SECRET (Original Title : Shake The Tree),Girls' Generation,k-pop
6697,0.649,0.355,3,-10.888,0,0.0296,0.735,0.567,0.248,0.426,135.964,audio_features,2npV0FotZtnSblfMrDfsB3,spotify:track:2npV0FotZtnSblfMrDfsB3,https://api.spotify.com/v1/tracks/2npV0FotZtnSblfMrDfsB3,https://api.spotify.com/v1/audio-analysis/2npV0FotZtnSblfMrDfsB3,294265,4,다른 얘기 좀 하자 (inst.),SOOL J & STi,k-pop
6698,0.762,0.791,8,-6.172,1,0.298,0.0618,2.53e-06,0.29,0.507,180.054,audio_features,5Ysv04lI7nBYJoaJjm9INy,spotify:track:5Ysv04lI7nBYJoaJjm9INy,https://api.spotify.com/v1/tracks/5Ysv04lI7nBYJoaJjm9INy,https://api.spotify.com/v1/audio-analysis/5Ysv04lI7nBYJoaJjm9INy,182720,4,Wasted,Jay Park,k-pop
6699,0.372,0.0595,5,-15.605,1,0.0307,0.969,0.00178,0.0987,0.108,98.173,audio_features,2EFDlTTFdC4HrV8UfLfnkp,spotify:track:2EFDlTTFdC4HrV8UfLfnkp,https://api.spotify.com/v1/tracks/2EFDlTTFdC4HrV8UfLfnkp,https://api.spotify.com/v1/audio-analysis/2EFDlTTFdC4HrV8UfLfnkp,255053,4,Dream,Yiruma,k-pop
6700,0.346,0.778,3,-7.749,0,0.0395,0.712,0.667,0.164,0.263,94.051,audio_features,1Zlz0JpMXf0DF9C8oRDI6l,spotify:track:1Zlz0JpMXf0DF9C8oRDI6l,https://api.spotify.com/v1/tracks/1Zlz0JpMXf0DF9C8oRDI6l,https://api.spotify.com/v1/audio-analysis/1Zlz0JpMXf0DF9C8oRDI6l,37304,5,Summer Dream Intro,Unknown,k-pop
6701,0.465,0.284,0,-15.77,0,0.0311,0.808,0.00697,0.102,0.198,133.795,audio_features,19uEyLqMJ5nGYvCwsGELQi,spotify:track:19uEyLqMJ5nGYvCwsGELQi,https://api.spotify.com/v1/tracks/19uEyLqMJ5nGYvCwsGELQi,https://api.spotify.com/v1/audio-analysis/19uEyLqMJ5nGYvCwsGELQi,302107,4,사과,Pudditorium,k-pop
